"key","en","es","fr","de","ja"
"enc_snowman_stats","SCIENTIFIC NAME: Linguaentomon Nivosus
UNIVERSE OF ORIGIN: <link=0>182-Kappa</link>
CLASSIFICATION: FA-H:3
","NOMBRE CIENTÍFICO: Linguaentomon nivosus
UNIVERSO DE ORIGEN: <link=0>182-Kappa</link>
CLASIFICACIÓN: FA-H:3","NOM SCIENTIFIQUE : Linguaentomon Nivosus
UNIVERS D'ORIGINE : <link=0>182-Kappa</link>
CLASSIFICATION : FA-H:3","WISSENSCHAFTLICHER NAME: Linguaentomon Nivosus
 HERKUNFTSUNIVERSUM: <link=0>182-Kappa</link>
 KLASSIFIKATION: FA-H:3","SCIENTIFIC NAME: Linguaentomon Nivosus
UNIVERSE OF ORIGIN: <link=0>182-Kappa</link>
CLASSIFICATION: FA-H:3
"
"enc_snowman_sub","dreaming of a black christmas","Oh, negra Navidad","ils rêvent d'un noël noir","träume von einer schwarzen Weihnacht",dreaming of a black christmas
"enc_sonja","Sonja","Sonja","Sonja","Sonja",Sonja
"enc_sonja_desc","A human from the universe <link=1>Vetus-4</link>, pulled into the <link=2>quantum reactor</link> just like the rest of the hapless aliens here. 

Sonja almost reached the surface and escaped, but was stopped by <link=3>Gentlehand</link> and dropped deep back into the depths. Rescued by <link=4>Brian,</link> she is now searching for a new way back to her home.","Una humana del universo <link=1>Vetus-4</link>, arrastrada al <link=2>reactor cuántico</link> al igual que el resto de los desafortunados extraterrestres que pululan por el lugar. 
 
Sonja estuvo a punto de llegar a la superficie para escapar, pero <link=3>Manoamiga</link> la detuvo y la llevó de vuelta a las profundidades. <link=4>Brian</link> la rescató, y ahora está buscando un nuevo camino de regreso a su hogar.","Une humaine de l'univers <link=1>Vetus-4</link>, aspirée par le <link=2>réacteur quantique</link> comme le reste des malheureux extraterrestres qui se trouvent ici.

Sonja a presque réussi à atteindre la surface et à s'échapper, mais <link=3>Gentlemain</link> l'a arrêtée et l'a rejetée dans les profondeurs. Secourue par <link=4>Brian,</link> elle cherche à présent un nouveau moyen de rentrer chez elle.","Ein Mensch aus dem Universum <link=1>Vetus-4</link>, der in den <link=2>Quantenreaktor</link> hineingezogen wurde, genau wie der Rest der unglücklichen Außerirdischen hier. 
 
 Sonja erreichte fast die Oberfläche und entkam, wurde aber von <link=3>Gentlehand</link> aufgehalten und tief in die Tiefe zurückgeworfen. Gerettet von <link=4>Brian,</link> sucht sie jetzt nach einem neuen Weg zurück in ihre Heimat.","A human from the universe <link=1>Vetus-4</link>, pulled into the <link=2>quantum reactor</link> just like the rest of the hapless aliens here.

Sonja almost reached the surface and escaped, but was stopped by <link=3>Gentlehand</link> and dropped deep back into the depths. Rescued by <link=4>Brian,</link> she is now searching for a new way back to her home."
"enc_sonja_stats","SPECIES: <link=[quot]Creatures/Human[quot]>Human</link>
AGE: 25","ESPECIE: <link=[quot]Creatures/Human[quot]>Humana</link>
EDAD: 25","ESPÈCE : <link=[quot]Creatures/Human[quot]>humaine</link>
ÂGE : 25 ans","SPEZIES: <link=[quot]Creatures/Human[quot]>Mensch</link>
 ALTER: 25","SPECIES: <link=[quot]Creatures/Human[quot]>Human</link>
AGE: 25"
"enc_sosig","Sosig","Salchi","Sossis","Sosig",ソーシグ
"enc_sosig_desc","An intelligent and heavily armed species with a strong resemblance to a hot dog. Sosigs display advanced knowledge of firearms and are capable in combat, but are highly vulnerable to gunfire themselves.

As they commonly appear wearing clothes or with weapons in hand, a complex Sosig society analogous to our own is theorized to exist. However, their universe of origin remains unknown, and we can only speculate what their world is like.

In one event, a Planck employee broke all safety protocols and took a bite out of a Sosig. The taste was described as [quot]wonderful.[quot]","Una especie inteligente y muy bien armada con un gran parecido a un perrito caliente. Los salchi tienen un conocimiento avanzado de las armas de fuego y son hábiles en el combate, pero muy vulnerables a los disparos.
 
Como suelen aparecer vestidos o con armas en la mano, se piensa que existe una sociedad salchi compleja análoga a la nuestra. Sin embargo, su universo de origen sigue siendo desconocido, y solo podemos especular cómo es su mundo.
 
En una ocasión, un empleado de Planck rompió todos los protocolos de seguridad y le dio un mordisco a un salchi. El sabor fue descrito como [quot]maravilloso[quot].","Une espèce intelligente et lourdement armée qui ressemble fortement à une saucisse de Francfort. Les sossis présentent une connaissance avancée des armes à feu et sont compétents au combat, mais ils sont très vulnérables aux tirs.

Comme ils apparaissent généralement vêtus ou armés, on suppose l'existence d'une société sossis complexe analogue à la nôtre. Cependant, leur univers d'origine reste inconnu et nous ne pouvons que théoriser sur leur monde.

Un jour, un employé de Planck a enfreint les protocoles de sécurité et a croqué un sossis. Il a décrit le goût comme étant [quot]merveilleux.[quot]","Eine intelligente und schwer bewaffnete Spezies mit einer starken Ähnlichkeit zu einem Hotdog. Sosigs verfügen über fortgeschrittene Kenntnisse im Umgang mit Schusswaffen und sind kampffähig, aber selbst sehr anfällig für Schusswaffen.
 
 Da sie häufig bekleidet oder mit Waffen in der Hand erscheinen, wird angenommen, dass es eine komplexe Sosig-Gesellschaft gibt, die unserer eigenen ähnelt. Ihr Herkunftsuniversum ist jedoch unbekannt und wir können nur spekulieren, wie ihre Welt aussieht.
 
 In einem Fall hat ein Planck-Mitarbeiter alle Sicherheitsprotokolle missachtet und einen Sosig abgebissen. Der Geschmack wurde als [quot]wunderbar[quot] beschrieben.","ホットドッグによく似た外見の、知能と武装を備えた種族。ソーシグは銃火器に関する高度な知識を持ち、戦闘においても優秀であるが、自身も銃弾に対して非常に脆弱である。

服を着ていることや、武器を手にしている姿がよく見られることから、我々と同様に複雑なソーシグ社会が存在するものと考えられている。しかしながら、その起源宇宙は未だに不明であり、彼らの世界がどのようなものであるか想像することしかできない。

プランク従業員があらゆるセーフティプロトコルを無視してソーシグをかじった事件においては、その味は「素晴らしい」と評されました。"
"enc_sosig_stats","SCIENTIFIC NAME: Carnis Sapiens
UNIVERSE OF ORIGIN: Unknown
CLASSIFICATION: FA-H:4-S","NOMBRE CIENTÍFICO: Carnis sapiens
UNIVERSO DE ORIGEN: Desconocido
CLASIFICACIÓN: FA-H:4-S","NOM SCIENTIFIQUE : Carnis Sapiens
UNIVERS D'ORIGINE : inconnu
CLASSIFICATION : FA-H:4-S","WISSENSCHAFTLICHER NAME: Carnis Sapiens
 HERKUNFTSUNIVERSUM: Unbekannt
 KLASSIFIKATION: FA-H:4-S","学名: ニク・サピエンス
起源宇宙: 不明
分類: FA-H:4-S"
"enc_sosig_sub","nice to meat you","Es un placer carnecerte","l'agression peut coûter [quot]chair[quot]","alles hat ein Ende",ジャストミート
"enc_standard_security_bot","Standard Security Bot","Robot de seguridad estándar","Robot de sécurité standard","Standard Security-Bot",Standard Security Bot
"enc_standard_security_bot_desc","The PS-00 is the core element of the Planck security force. Commonly equipped with either a semiautomatic plasma rifle or submachine gun. Programmed with a basic tactical suite, the PS-00 is capable of autonomous target aquisition and elimination, but functions more effectively in a group.","El PS-00 es el elemento central de las fuerzas de seguridad de Planck. Normalmente está equipado con un fusil de plasma semiautomático o una metralleta. El PS-00 cuenta con un programa táctico básico, y es capaz de detectar y eliminar objetivos de manera autónoma, pero funciona de manera más efectiva en grupo.","Le PS-00 est l'élément principal des forces de sécurité de Planck. Il est généralement équipé d'un fusil à plasma semi-automatique ou d'une mitrailleuse. Programmé avec une suite tactique de base, le PS-00 est capable d'acquérir et d'éliminer des cibles en autonomie, mais il fonctionne mieux en groupe.","Der PS-00 ist das Kernelement der Planck-Sicherheitstruppe. Er ist in der Regel entweder mit einem halb automatischen Plasmagewehr oder einer Maschinenpistole ausgestattet. Der PS-00 ist mit einer grundlegenden taktischen Ausrüstung programmiert und kann selbstständig Ziele anvisieren und ausschalten, funktioniert aber besser in einer Gruppe.","The PS-00 is the core element of the Planck security force. Commonly equipped with either a semiautomatic plasma rifle or submachine gun. Programmed with a basic tactical suite, the PS-00 is capable of autonomous target aquisition and elimination, but functions more effectively in a group."
"enc_standard_security_bot_stats","UNIT NAME: PS-00
ROLE: Security - Infantry
MANUFACTURER: <link=0>Planck Intdl.</link>","NOMBRE DE LA UNIDAD: PS-00
FUNCIÓN: Seguridad, infantería
FABRICANTE: <link=0>Planck Interdimensional</link>","NOM D'UNITÉ : PS-00
RÔLE : sécurité - infanterie
FABRICANT : <link=0>Planck Intdl.</link>","NAME DER EINHEIT: PS-00
 ROLLE: Sicherheit – Infanterie
 HERSTELLER: <link=0>Planck Intdl.</link>","UNIT NAME: PS-00
ROLE: Security - Infantry
MANUFACTURER: <link=0>Planck Intdl.</link>"
"enc_standard_security_bot_sub","intelligent, artificially","Inteligente... artificialmente","intelligent, artificiellement","intelligent, künstlich","intelligent, artificially"
"enc_stealth_bot","Stealth Bot","Robot de sigilo","Robot furtif","Tarn-Bot",Stealth Bot
"enc_stealth_bot_desc","The PS-12 is a unique security unit armed with only a pair of blades, and its lighter frame sacrifices duribility and strength for unsurmounted mobility. 

Frequently deployed in highly sensitive operations, the PS-12 is suited well to dispatch intelligent targets where brute force may fail. It was developed specifically as a response to the 1989 terror attack on Quantum Reactor 1.

A variation of the unit can feature optical waveguides, allowing it to turn virtually invisible. Just one PS-12 can pose a grand threat if its ambush tactics are successful.

Possesses an EM scrambler, making it immune to homing projectiles.","El PS-12 es una unidad de seguridad exclusiva armada con solo un par de cuchillas, y está dotado de una estructura ligera que sacrifica durabilidad y fuerza para conseguir una movilidad sin igual. 
 
Utilizado con frecuencia en operaciones donde es indispensable la discreción, el PS-12 funciona bien para despachar objetivos inteligentes cuando la fuerza bruta puede fallar. Fue desarrollado específicamente como respuesta al ataque terrorista de 1989 en el Reactor Cuántico I.
 
Existe variantes de esta unidad con guías de ondas ópticas, que les permiten volverse virtualmente invisibles. Un único PS-12 puede representar una gran amenaza si sus tácticas de emboscada tienen éxito.
 
Posee un alterador EM, lo que lo hace inmune a los proyectiles rastreadores.","Le PS-12 est une unité de sécurité unique qui n'est armée que de deux épées. Son ossature plus légère sacrifie la durabilité et la force en faveur d'une mobilité inégalée.

Fréquemment déployé lors d'opérations très sensibles, le PS-12 est parfait pour éliminer les cibles intelligentes là où la force brutale peut échouer. Il a été conçu spécialement en réponse à l'attaque terroriste du réacteur quantique 1 qui a eu lieu en 1989.

L'une des variantes de ces unités peut être équipée de guides à ondes optiques, lui permettant de devenir pratiquement invisible. Un seul PS-12 peut représenter une grande menace si ses tactiques d'embuscade portent leurs fruits.

Possède un brouilleur EM qui lui donne l'immunité contre les projectiles autoguidés.","Der PS-12 ist eine einzigartige Sicherheitseinheit, die nur mit einem Paar Klingen bewaffnet ist. Sein leichterer Rahmen opfert Robustheit und Stärke für die Mobilität im Gelände. 
 
 Der PS-12 wird häufig bei hochsensiblen Einsätzen eingesetzt und eignet sich gut für die Beseitigung intelligenter Ziele, bei denen rohe Gewalt versagen könnte. Es wurde speziell als Reaktion auf den Terroranschlag auf den Quantenreaktor 1 im Jahr 1989 entwickelt.
 
 Eine Variante des Geräts kann mit optischen Wellenleitern ausgestattet werden, die es ermöglichen, sich praktisch unsichtbar zu machen. Ein einziger PS-12 kann eine große Bedrohung darstellen, wenn seine Taktik aus dem Hinterhalt erfolgreich ist.
 
 Er verfügt über einen EM-Scrambler, der ihn immun gegen zielsuchende Geschosse macht.","The PS-12 is a unique security unit armed with only a pair of blades, and its lighter frame sacrifices duribility and strength for unsurmounted mobility.

Frequently deployed in highly sensitive operations, the PS-12 is suited well to dispatch intelligent targets where brute force may fail. It was developed specifically as a response to the 1989 terror attack on Quantum Reactor 1.

A variation of the unit can feature optical waveguides, allowing it to turn virtually invisible. Just one PS-12 can pose a grand threat if its ambush tactics are successful.

Possesses an EM scrambler, making it immune to homing projectiles."
"enc_stealth_bot_stats","UNIT NAME: PS-12
ROLE: Security - Special Operations
MANUFACTURER: <link=0>Planck Intdl.</link>","NOMBRE DE LA UNIDAD: PS-12
FUNCIÓN: Seguridad, operaciones especiales
FABRICANTE: <link=0>Planck Interdimensional</link>","NOM D'UNITÉ : PS-12
RÔLE : sécurité - opérations spéciales
FABRICANT : <link=0>Planck Intdl.</link>","NAME DER EINHEIT: PS-12
 ROLLE: Sicherheit – Sondereinsätze
 HERSTELLER: <link=0>Planck Intdl.</link>","UNIT NAME: PS-12
ROLE: Security - Special Operations
MANUFACTURER: <link=0>Planck Intdl.</link>"
"enc_stealth_bot_sub","guns are for cowards","Las pistolas son para los cobardes","les armes à feu sont pour les faibles","Waffen sind für Feiglinge",guns are for cowards
"enc_t-132-epsilion","T-132-Epsilion","T-132-Epsilion","T-132-Epsilion","T-132-Epsilion",T-132-Epsilion
"enc_t-132-epsilion_desc","A strange void filled with golden bubbles of exotic matter. No known life or structures of any kind.","Un extraño vacío lleno de burbujas doradas de materia exótica. No se han encontrado estructuras o formas de vida en su interior.","Un vide étrange rempli de bulles dorées de matière exotique. Aucune forme de vie connue ni de structures.","Eine seltsame Leere, gefüllt mit goldenen Blasen aus exotischer Materie. Keinerlei Leben oder Strukturen sind bekannt.",A strange void filled with golden bubbles of exotic matter. No known life or structures of any kind.
"enc_t-132-epsilion_stats","CLASS: Skall-Disharmonic","CLASE: Skalldisarmónico","CLASSE : Skall-Disharmonic","KLASSE: Skall-Disharmonisch",CLASS: Skall-Disharmonic
"enc_t-132-epsilion_sub","music of the spheres","Música de las esferas","musique des sphères","Musik der Sphären",music of the spheres
"enc_tarjelly","Tarjelly","Alquitrameba","Boule de poix","Teerglibber",タージェリー
"enc_tarjelly_desc","A mostly amorphous life form composed of fluid-like free floating cells and a number of more solid organs. Structures like the circulatory and nervous system are created on the fly, allowing nearly limitless deformation of the body. Their intelligence is highly variable, and depends on their current body configuration.

Tarjellies are highly predatory, though they are capable of consuming and digesting almost anything, so they may not seek out living prey. If they do hunt however, they can very effectively use their sticky bodies and numerous toothy mouths to trap and kill anything smaller than them, making them quite dangerous.

Their remarkable biology made them a popular subject of study in the Exobiology department.

Notable individuals: <link=1>Frank</link>","Una forma de vida mayoritariamente amorfa compuesta de células flotantes similares a líquidos y una serie de órganos más sólidos. Las estructuras como el sistema circulatorio y nervioso se crean sobre la marcha, lo que otorga a sus cuerpos una capacidad de deformación casi ilimitada. Su inteligencia es muy variable y depende de su configuración corporal.
 
Las alquitramebas son grandes depredadoras, aunque son capaces de consumir y digerir casi cualquier cosa, por lo que es posible que no busquen presas vivas. Sin embargo, si cazan, pueden usar de manera muy efectiva sus cuerpos pegajosos y numerosas bocas llenas de dientes para atrapar y matar cualquier cosa más pequeña que ellas, lo que las hace altamente peligrosas.
 
Su peculiar biología las convirtió en un tema de estudio popular en el departamento de exobiología.
 
Individuo destacable: <link=1>Frank</link>.","Une forme de vie amorphe composée de cellules flottantes semblables à du liquide et un certain nombre d'organes plus solides. Les structures telles que la circulation sanguine et le système nerveux sont créés à la volée, permettant une déformation presque illimitée du corps. Son intelligence varie considérablement selon sa configuration corporelle au moment donné.

Les boules de poix sont de redoutables prédatrices qui peuvent consommer et digérer presque tout et n'importe quoi, il est donc possible qu'elles ne cherchent pas de proies vivantes. Cependant, si elles ne chassent pas, leurs corps collants et leurs nombreuses bouches carnassières sont très efficaces pour piéger et tuer tout ce qui est plus petit qu'elles – mieux vaut ne pas sous-estimer le danger.

Leur remarquable biologie en a fait un sujet populaire d'étude dans le département d'exobiologie.

Individu notable : <link=1>Frank</link>.","Eine meist amorphe Lebensform, die aus flüssigkeitsähnlichen, frei schwimmenden Zellen und einer Reihe festerer Organe besteht. Strukturen wie der Blutkreislauf und das Nervensystem werden im Handumdrehen erschaffen, was eine nahezu unbegrenzte Verformung des Körpers ermöglicht. Ihre Intelligenz ist sehr unterschiedlich und hängt von ihrer aktuellen Körperkonfiguration ab.
 
 Teerglibber sind hochgradig räuberisch, können aber fast alles verzehren und verdauen, sodass sie nicht unbedingt nach lebender Beute suchen. Wenn sie jedoch jagen, können sie ihren klebrigen Körper und ihre zahlreichen zahnartigen Mäuler sehr effektiv einsetzen, um alles, was kleiner ist als sie, zu fangen und zu töten, was sie ziemlich gefährlich macht.
 
 Ihre bemerkenswerte Biologie machte sie zu einem beliebten Studienobjekt in der Abteilung für Exobiologie.
 
 Erwähnenswerte Individuen: <link=1>Frank</link>","身体のほとんどが、流動的な浮遊細胞といくつかの固形器官からなる不定形の生命体。循環系や神経系といった構造を必要に応じて生成することで、身体をほぼ無限に変形できる。その知能は、身体の構成によって非常に変動しやすい。

タージェリーは強い捕食性と、ほとんどあらゆるものを取り込んで消化する能力を有しているが、だからといって生きた獲物を求めているとは限らない。しかし狩りにおいてはたくさんの歯を備えた口と粘着質な身体を利用し、自分より小さい相手であれば何でも捕まえて殺すことができる。このことが彼らを危険たらしめている。

その驚くべき生態から、エグゾバイオロジー部門において人気の研究対象となっている。

特筆すべき個体: <link=1>フランク</link>"
"enc_tarjelly_stats","SCIENTIFIC NAME: Ineffigiatozoa Bitumens
UNIVERSE OF ORIGIN: <link=0>182-Kappa</link>
CLASSIFICATION: FA-H:6
","NOMBRE CIENTÍFICO: Ineffigiatozoa bitumens
UNIVERSO DE ORIGEN: <link=0>182-Kappa</link>
CLASIFICACIÓN: FA-H:6","NOM SCIENITIFIQUE : Ineffigiatozoa Bitumens
UNIVERS D'ORIGINE : <link=0>182-Kappa</link>
CLASSIFICATION : FA-H:6","WISSENSCHAFTLICHER NAME: Ineffigiatozoa Bitumens
 HERKUNFTSUNIVERSUM: <link=0>182-Kappa</link>
 KLASSIFIKATION: FA-H:6","学名: ドロリシア・アスファルタス
起源宇宙: <link=0>182-カッパ</link>
分類: FA-H:6
"
"enc_tarjelly_sub","frankling!","¡Franktástico!","le petit Frank !","frankling!",フランクリング！
"enc_terran_union","Terran Union","Unión Terrana","Union terrienne","Terranische Union",Terran Union
"enc_terran_union_desc","The Terran Union comprises the Earth and Earth's moon, Luna. Luna declared independence in 1910 as colonies became self-sufficient, but economic pressure forced them to negotiate an annexation leading to the formation of the Union in 1969.

The Union holds over 95% of human population, with the rest thinly spread through the outer planets in a slowly growing interplanetary population. The Union operates a neoliberal, highly capitalist society, where large corporations like <link=0>Planck Interdimensional</link> hold the majority of economic and political power.

The Terrain Union also has de facto control over many remote colonies, despite not technically owning any land outside of the Earth system.","La Unión Terrana comprende la Tierra y su satélite, la Luna. La Luna declaró su independencia en 1910 cuando las colonias se volvieron autosuficientes, pero la presión económica las obligó a negociar una anexión que condujo a la formación de la Unión en 1969.
 
La Unión alberga a más del 95% de la población humana, y el resto está escasamente repartido por los planetas exteriores, donde conforma una población interplanetaria de lento crecimiento. La Unión se compone de una sociedad neoliberal y altamente capitalista, donde las grandes corporaciones como <link=0>Planck Interdimensional</link> tienen la mayoría del poder económico y político.
 
La Unión Terrana también tiene control de facto sobre muchas colonias remotas, a pesar de que, técnicamente, no posee ningún territorio fuera del sistema terrestre.","L'Union terrienne comprend la Terre et la lune de la Terre, Luna. Luna a déclaré son indépendance en 1910 lorsque les colonies sont devenues autosuffisantes, mais la pression économique l'a forcée à négocier une annexion qui a mené à la formation de l'Union en 1969.

L'Union accueille 95 % de la population humaine, le reste étant très dispersé entre les planètes extérieures participant à la croissance lente d'une population interplanétaire. L'Union a établi une société néolibérale extrêmement capitaliste où de grandes corporations telles que <link=0>Planck Interdimensional</link> détiennent la majorité des pouvoirs économique et politique.

L'Union terrienne a également le contrôle de facto sur plusieurs colonies éloignées, bien qu'elle ne possède techniquement aucun territoire en dehors du système de la Terre.","Die Terranische Union besteht aus der Erde und dem Erdmond Luna. Luna erklärte 1910 seine Unabhängigkeit, als die Kolonien sich selbst versorgten, aber der wirtschaftliche Druck zwang sie, über eine Annexion zu verhandeln, die 1969 zur Gründung der Union führte.
 
 In der Union leben über 95 % der menschlichen Bevölkerung, der Rest ist dünn über die äußeren Planeten verteilt und bildet eine langsam wachsende interplanetarische Bevölkerung. Die Union betreibt eine neoliberale, hochgradig kapitalistische Gesellschaft, in der große Konzerne wie <link=0>Planck Interdimensional</link> die Mehrheit der wirtschaftlichen und politischen Macht innehaben.
 
 Die Terranische Union hat auch de facto die Kontrolle über viele abgelegene Kolonien, obwohl sie technisch gesehen kein Land außerhalb des Erdsystems besitzt.","The Terran Union comprises the Earth and Earth's moon, Luna. Luna declared independence in 1910 as colonies became self-sufficient, but economic pressure forced them to negotiate an annexation leading to the formation of the Union in 1969.

The Union holds over 95% of human population, with the rest thinly spread through the outer planets in a slowly growing interplanetary population. The Union operates a neoliberal, highly capitalist society, where large corporations like <link=0>Planck Interdimensional</link> hold the majority of economic and political power.

The Terrain Union also has de facto control over many remote colonies, despite not technically owning any land outside of the Earth system."
"enc_terran_union_stats","FOUNDER: Joseph Brace
DATE FOUNDED: 1969
CURRENT LEADER: Margaret Sorkin","FUNDADOR: Joseph Brace
 FECHA DE FUNDACIÓN: 1969
 LÍDER ACTUAL: Margaret Sorkin","FONDATEUR : Joseph Brace
DATE DE FONDATION : 1969
DIRIGEANTE ACTUELLE : Margaret Sorkin","GRÜNDER: Joseph Brace
 GRÜNDUNGSDATUM: 1969
 AKTUELLE FÜHRUNG: Margaret Sorkin","FOUNDER: Joseph Brace
DATE FOUNDED: 1969
CURRENT LEADER: Margaret Sorkin"
"enc_terran_union_sub","the motherland","La tierra natal","la mère patrie","das Mutterland",the motherland
"enc_the_void","The Void","El Vacío","Le Néant","Die Leere",The Void
"enc_the_void_desc","The Void is the theorized extradimensional space-beyond-space. Between realities, between universes, before the big bang and after the end of time, the Void exists. Apparently governed by the <link=0>Void Delegation</link>, and inhabited by a variety of unconventional beings such as <link=1>Realmwalkers.</link>","El Vacío es el espacio extradimensional que existe teóricamente más allá del espacio. Entre realidades, entre universos, antes del big bang y después del fin de los tiempos, existe el Vacío. Aparentemente, está gobernado por la <link=0>Delegación del Vacío</link>, y habitado por una variedad de seres no convencionales, como los <link=1>trotarreinos</link>.","Le Néant est l'espace au-delà de l'espace extradimensionnel hypothétique. Entre les réalités, entre les univers, bien avant le Big Bang et après la fin des temps, le Néant existe. Il est apparemment gouverné par la <link=0>Délégation du Néant</link> et habité par diverses entités peu conventionnelles comme les <link=1>passe-royaume.</link>","Die Leere ist der theoretische extradimensionale Raum jenseits des Raums. Zwischen den Realitäten, zwischen den Universen, vor dem Urknall und nach dem Ende der Zeit existiert die Leere. Anscheinend wird sie von der <link=0>Leere-Delegation</link> regiert und von einer Vielzahl unkonventioneller Wesen wie <link=1>Reichswandlern</link> bewohnt.","The Void is the theorized extradimensional space-beyond-space. Between realities, between universes, before the big bang and after the end of time, the Void exists. Apparently governed by the <link=0>Void Delegation</link>, and inhabited by a variety of unconventional beings such as <link=1>Realmwalkers.</link>"
"enc_the_void_stats","LOCALE: N/A
","LOCALIZACIÓN: N/A","LIEU : N/D","ORT: K. A.","LOCALE: N/A
"
"enc_the_void_sub","ascendance","Ascendencia","ascendance","Aufstieg",ascendance
"enc_therus","Therus","Therus","Thérus","Therus",Therus
"enc_therus_desc","One of <link=1>Brian’s</link> assistants, the first to be successfully reprogrammed from a Planck security drone. 

Intelligent and fairly capable, but possesses a rebellious nature that Brian corrected in later repurposed drones.","Uno de los ayudantes de <link=1>Brian</link>, el primer dron de seguridad de Planck que se ha reprogramado con éxito. 
 
Es inteligente y bastante capaz, pero posee una naturaleza rebelde que Brian corrigió en drones modificados más tarde.","L'un des assistants de <link=1>Brian</link>, le premier drone de sécurité de Planck à avoir été reprogrammé avec succès.

Intelligent et relativement compétent, il possède toutefois une nature rebelle que Brian a corrigée dans les drones recyclés ultérieurement.","Einer von <link=1>Brians</link> Assistenten, der erste, der erfolgreich von einer Planck-Sicherheitsdrohne umprogrammiert wurde. 
 
 Intelligent und ziemlich fähig, hat aber eine rebellische Natur, die Brian in späteren umprogrammierten Drohnen korrigiert hat.","One of <link=1>Brian’s</link> assistants, the first to be successfully reprogrammed from a Planck security drone.

Intelligent and fairly capable, but possesses a rebellious nature that Brian corrected in later repurposed drones."
"enc_therus_stats","SPECIES: Robot
AGE: 2
ALLEGIANCE: <link=0>Brian Industries</link>
","ESPECIE: Robot
EDAD: 2
FACCIÓN: <link=0>Industrias Brian</link>","ESPÈCE : robot
ÂGE : 2 ans
ALLÉGEANCE : <link=0>Brian Industries</link>","SPEZIES: Roboter
 ALTER: 2
 ZUGEHÖRIGKEIT: <link=0>Brian Industries</link>","SPECIES: Robot
AGE: 2
ALLEGIANCE: <link=0>Brian Industries</link>
"
"enc_therus_sub","orb","Orbe","orbe","Kugel",orb
"enc_theseer","The Seer","La Vidente","La Voyante","Die Seherin",The Seer
"enc_theseer_desc","A worker bot built with a defect allowing anomalously strong image processing capabilities.

She seems to have abandoned her Planck duties and dedicated herself to sight, adding more and more eyes to her body to allow her to see further.

She claims her sight currently extends through the entire cosmos, and even into the <link=0>Void</link> itself. ","Un robot trabajador construido con un defecto que le permite procesar imágenes anómalamente bien.
 
Parece haber abandonado sus funciones dentro Planck y ahora se dedica únicamente a observar, agregando más y más ojos a su cuerpo que le permiten ver aún más lejos.
 
Afirma que, en la actualidad, su vista alcanza todo el cosmos, e incluso llega al mismísimo <link=0>Vacío</link>.","Un robot travailleur avec un défaut qui lui donne des capacités anormalement supérieures de traitement des images.
Elle semble avoir abandonné ses fonctions au sein de Planck pour se dévouer à la vision, ajoutant de plus en plus d'yeux sur son corps pour voir toujours plus loin.
Elle prétend actuellement voir à travers le cosmos entier, et même jusqu'au <link=0>Néant</link>.","Ein Arbeiter-Bot mit einem Defekt, der anomal starke Bildverarbeitungsfähigkeiten ermöglicht.
 
 Sie scheint ihre Planck-Aufgaben aufgegeben zu haben und widmet sich dem Sehen, indem sie ihrem Körper immer mehr Augen hinzufügt, um weiter sehen zu können.
 
 Sie behauptet, ihre Sicht reiche derzeit durch den gesamten Kosmos und sogar in die <link=0>Leere</link> selbst.","A worker bot built with a defect allowing anomalously strong image processing capabilities.

She seems to have abandoned her Planck duties and dedicated herself to sight, adding more and more eyes to her body to allow her to see further.

She claims her sight currently extends through the entire cosmos, and even into the <link=0>Void</link> itself. "
"enc_theseer_stats","SPECIES: Robot
Age: 2
ALLEGIANCE: Rogue
","ESPECIE: Robot
EDAD: 2
FACCIÓN: Independiente","ESPÈCE : robot
ÂGE : 2 ans
ALLÉGEANCE : rebelle","SPEZIES: Roboter
 ALTER: 2
 ZUGEHÖRIGKEIT: Abtrünnig","SPECIES: Robot
Age: 2
ALLEGIANCE: Rogue
"
"enc_theseer_sub","truth","Verdad","la vérité","Wahrheit",truth
"enc_trident_smg","Trident SMG","Metralleta Tridente","PM Trident","Dreizack-SMG",Trident SMG
