key,en,es,fr,de
enc_planck_interdimensional,プランク・インターディメンショナル,"Planck Interdimensional","Planck Interdimensional","Planck Interdimensional"
enc_planck_interdimensional_desc,"物理学者マックス・プランクが量子フレーイング理論の実用性を証明し、それを用いてクォンタムリアクターの概念を提唱すると、プランク・インターディメンショナル・エネルギーソリューションが創設された。わずか9年後の1939年にスペインで最初のリアクターの稼働が始まり、その完成はグローバルエネルギー危機に終止符を打つものであった。

その後の数十年間でプランクはエネルギー市場を独占し、太陽系における消費電力の86%を供給するまでに至った。プランク家が同族経営していて、現在はマックスのひ孫であるエミリー・プランクが会社を率いている。

プランクのイノベーションは、20世紀の太陽系植民地化を加速させた。クォンタムリアクターから始まり、現在では月にいくつかの大型のフュージョンリアクターと、アルジェリアと水星にはソーラー発電ファーム、そしてスコットランドに水力発電所を所有している。

その成功にも関わらず、プランクには過酷で危険な労働環境の悪評がある。","Soluciones Energéticas Planck Interdimensional se fundó después de que el físico Max Planck se diera cuenta de la funcionalidad de sus teorías de crispación cuántica y las aplicara para desarrollar el concepto de un reactor cuántico. El primer reactor se puso en funcionamiento en España tan solo 9 años después, en 1939, y su finalización supuso el final de la crisis energética mundial. 
 
Desde entonces, Planck ha monopolizado la energía con sus centrales eléctricas, suministrando el 86% del consumo de energía del sistema solar. La familia Planck siempre ha dirigido la corporación y la bisnieta de Max, Emily, es quien está actualmente al mando.
 
La invención de Planck aceleró la colonización del sistema solar durante el siglo XX. Planck ha diversificado sus actividades, y además de sus emblemáticos reactores cuánticos, tiene varios reactores de fusión de gran tamaño en la Luna, una granja de energía solar en Argelia y otra en Mercurio, y una planta hidroeléctrica en Escocia. 
 
A pesar de su éxito, Planck es famosa por imponer unas condiciones de trabajo abusivas y peligrosas.","Planck Interdimensional Energy Solutions fut fondée lorsque le physicien Max Planck réalisa le pragmatisme de ses théories sur la discontinuité des quanta et décida de les mettre en application pour créer le concept d'un réacteur quantique. Le premier réacteur fut mis en œuvre en Espagne en 1939, tout juste 9 ans plus tard. Son achèvement marqua la fin de la crise énergétique mondiale.
Dans les décennies qui suivirent, Planck monopolisa le secteur de l'énergie, ses centrales électriques fournissant 86 % de la consommation du système solaire. La famille Planck a toujours été à la tête de la multinationale, et c'est Emily, l'arrière-petite-fille de Max, qui la dirige aujourd'hui.
L'innovation de Planck accéléra la colonisation du système solaire à travers le 20e siècle. Planck a diversifié ses opérations depuis sa spécialisation dans les réacteurs quantiques et possède aujourd'hui plusieurs grands réacteurs à fusion nucléaire sur la Lune, un parc solaire photovoltaïque en Algérie et sur Mercure, ainsi qu'une centrale hydroélectrique en Écosse.
Malgré cette réussite, Planck conserve une tradition de conditions de travail abusives et dangereuses.","Planck Interdimensional Energy Solutions wurde gegründet, nachdem der Physiker Max Planck die praktische Anwendbarkeit seiner Theorien zum Quantenbruch erkannt und sie auf das Konzept eines Quantenreaktors angewendet hatte. Der erste Reaktor wurde nur 9 Jahre später, im Jahr 1939, in Spanien in Betrieb genommen, und seine Fertigstellung bedeutete das Ende der weltweiten Energiekrise. 
 
 In den folgenden Jahrzehnten hat Planck das Energiemonopol inne: Seine Kraftwerke liefern 86 % des Stromverbrauchs des Sonnensystems. Das Unternehmen wird seit jeher von der Familie Planck geführt, wobei Max’ Urenkelin Emily derzeit die Leitung innehat. 
 
 Plancks Innovationen haben die Kolonisierung des Sonnensystems im 20. Jahrhundert vorangetrieben. Planck hat sich von seiner Spezialität, den Quantenreaktoren, gelöst und besitzt mehrere große Fusionsreaktoren auf Luna, eine Solarfarm in Algerien und eine auf Merkur sowie ein Wasserkraftwerk in Schottland. 
 
 Trotz seines Erfolges hat Planck ein Erbe von missbräuchlichen und gefährlichen Arbeitsbedingungen."
enc_planck_interdimensional_stats,"創設者: マックス・プランク
創設年: 1930
現在のリーダー: エミリー・プランク","FUNDADOR: Max Planck
FECHA DE FUNDACIÓN: 1930
LÍDER ACTUAL: Emily Planck","FONDATEUR : Max Planck
DATE DE FONDATION : 1930
DIRIGEANTE ACTUELLE : Emily Planck","GRÜNDER: Max Planck
 GRÜNDUNGSDATUM: 1930
 AKTUELLE FÜHRUNG: Emily Planck"
enc_planck_interdimensional_sub,物語にはメガコーポがつきもの,"Megacorporación obligatoria","multinationale obligatoire","obligatorischer Megakonzern"
enc_planck_internal_transit_system,プランク内部輸送システム,"Sistema interno de transporte de Planck","Système de transit interne de Planck","Planck internes Transitsystem"
enc_planck_internal_transit_system_desc,"Planck Internal Transit System、略してPITSはリアクターの下層階をつなぐ輸送システムだ。リアクターの建設中に何百人もの従業員を輸送しなければならなかったため、相当のキャパシティを持つ。特に多孔質の岩石部分を掘って造られたもので、大昔の溶岩洞が自然の洞窟ネットワークを形成している。

その堅牢なインフラストラクチャーは、未使用期間が1年に及んでも未だに機能している。","El SITP es el sistema interno de transporte que une las plantas inferiores del reactor. Es bastante fiable, ya que tuvo que transportar a cientos de empleados hacia y desde sus puestos de trabajo durante la construcción del reactor. Fue construido en una sección de roca particularmente porosa, con antiguos conductos de lava que formaban redes de cuevas naturales. 
 
Su sólida infraestructura sigue funcionando incluso después de llevar un año en desuso.","Le STIP est le système de transit qui relie les étages inférieurs du réacteur. Il a une capacité décente, car il a servi de navettes à des centaines d'employés entre leur travail et leur domicile pendant la construction du réacteur. Il a été construit dans une section de roche particulièrement poreuse, avec d'anciens tubes de lave formant des réseaux naturels de grottes.

Son infrastructure robuste fonctionne toujours, même des années après son abandon.","Das PITS ist das Transitsystem, das die unteren Etagen des Reaktors miteinander verbindet. Es ist sehr leistungsfähig, da es während des Baus des Reaktors Hunderte von Mitarbeitern zu ihren Arbeitsplätzen und wieder zurückbefördern musste. Der Reaktor wurde in einem besonders porösen Felsabschnitt gebaut, in dem alte Lavaröhren ein natürliches Höhlennetz bilden. 
 
 Die robuste Infrastruktur ist auch nach einem Jahr Stillstand noch funktionstüchtig."
enc_planck_internal_transit_system_stats,"ロケーション: <link=0>クォンタムリアクターVII</link>","LOCALIZACIÓN: <link=0>Reactor Cuántico VII</link>","LIEU : <link=0>réacteur quantique VII</link>","ORT: <link=0>Quantenreaktor VII</link>"
enc_planck_internal_transit_system_sub,節足動物類にはリードを着用してお乗りください,"Por favor, lleva a tus artrópodos con correa","merci de garder vos arthropodes en laisse","bitte halte deine Gliederfüßer an der Leine"
enc_primal_handyman,原始ハンド人,"Manitas primitivo","Homme de main primitif",Ur-Handwerker
enc_primal_handyman_desc,"未発達な<link=1>テクビ・サピエンス</link>である原始ハンド人は脳の体積が小さく、また複数の亜種が存在する。彼らは極めて攻撃的で、獲物を引き裂くためにその腕を使う。

彼らの起源宇宙から転移してくる際、ほとんどの個体が重度の放射能汚染を伴って出現することから、大規模な核戦争が起きたことを示唆している。ダークブルーの肌の他、一般的には腫瘍によって原始ハンド人を識別できる。","Una variación atrofiada de los <link=1>Manus sapiens</link>, los manitas primitivos tienen un volumen cerebral reducido y otras mutaciones menores. Son extremadamente agresivos, y usan sus brazos para cortar e incapacitar a sus presas. 
 
 La mayoría de los especímenes emergen del universo de origen con un grave síndrome de envenenamiento por radiación, lo que sugiere un conflicto nuclear global. El manitas primitivo se puede identificar por su piel azul oscuro y sus habituales lesiones.","Une variante chétive du <link=1>Manus Sapiens</link>, les hommes de main primitifs ont un volume cérébral réduit ainsi que d'autres mutations mineures. Ils sont très agressifs et utilisent leurs bras pour lacérer et neutraliser leur proie.

La majorité des spécimens émergent de leur univers d'origine en souffrant d'un grave empoisonnement aux radiations, suggérant un conflit nucléaire mondial. L'homme de main primitif s'identifie par sa couleur de peau bleu foncé et a généralement des lésions.","Als verkümmerte Variante von <link=1>Manus Sapiens</link> haben die Ur-Handwerker ein reduziertes Gehirnvolumen und andere kleinere Mutationen. Sie sind äußerst aggressiv und benutzen ihre Arme, um ihre Beute aufzuschlitzen und kampfunfähig zu machen. 
 
 Die meisten Exemplare kommen mit einer schweren Strahlenvergiftung aus dem Ursprungsuniversum, was auf einen globalen Atomkonflikt hindeutet. Den Ur-Handwerker erkennt man an seiner dunkelblauen Hautfärbung und häufig an Läsionen."
enc_primal_handyman_stats,"学名: テクビ・インサピエンス
起源宇宙: <link=0>202-マイヤー</link>
分類: FA-H:4","NOMBRE CIENTÍFICO: Manus degenerus
 UNIVERSO DE ORIGEN: <link=0>202-Meyer</link>
 CLASIFICACIÓN: FA-H:4","NOM SCIENTIFIQUE : Manus Degenerus
UNIVERS D'ORIGINE : <link=0>202-Meyer</link>
CLASSIFICATION : FA-H:4","WISSENSCHAFTLICHER NAME: Manus Degenerus
 HERKUNFTSUNIVERSUM: <link=0>202-Meyer</link>
 KLASSIFIKATION: FA-H:4"
enc_primal_handyman_sub,気味が悪い,"Dan mal rollo","il fait flipper","wirklich gruselig"
enc_propulsor_pad,推力パッド,"Plataforma propulsora","Bloc propulseur",Propulsor-Pad
enc_propulsor_pad_desc,推力パッドは、エレベーターやクレーンを使えないエリアで荷物を運び上げるために設計されている。人間が使用することはプランク社によって禁じられているが、作業員たちは構わず使っている。,"Las plataformas propulsoras están diseñadas para levantar carga en áreas donde los ascensores o las grúas son menos viables. Planck prohíbe estrictamente que las usen los humanos, pero, aun así, los trabajadores las usan constantemente.","Les blocs propulseurs sont conçus pour soulever les cargaisons où les monte-charge et les grues sont moins viables. Planck interdit strictement l'utilisation humaine, mais les ouvriers s'en fichent et l'utilisent tout le temps.","Propulsor-Pads wurden entwickelt, um Fracht in Bereichen zu heben, in denen Aufzüge oder Kräne weniger praktikabel sind. Planck verbietet die Benutzung durch Menschen streng, aber die Arbeiter tun es trotzdem ständig."
enc_propulsor_pad_stats,"カテゴリー: デバイス
クラス: インダストリー","CATEGORÍA: Dispositivo
CLASE: Industrial","CATÉGORIE : dispositif
CLASSE : industrielle","KATEGORIE: Gerät
 KLASSE: Industrie"
enc_propulsor_pad_sub,荷物は安心,"Ten fe","sautez le pas","hab Vertrauen"
enc_quantum_encryption_key,量子暗号鍵,"Llave de cifrado cuántico","Clé de chiffrement quantique",Quantenverschlüsselungsschlüssel
enc_quantum_encryption_key_desc,"完全なセキュリティを提供する量子暗号鍵。回路内の原子は鍵穴のそれと複雑に絡み合っているため、ハッキングや複製は不可能である。

この鍵は、<link=0>コア</link>自体を含むリアクター内の最高機密エリアを封鎖するためだけに使用されている。","Una llave de cifrado cuántico proporciona una seguridad perfecta. Los átomos de sus circuitos están entrelazados con los de la cerradura, por lo que es imposible piratearlas o duplicarlas. 
 
Estas llaves solo se utilizan para sellar las áreas de mayor seguridad del reactor, incluido el propio <link=0>núcleo</link>.","Une clé de chiffrement quantique fournit une sécurité parfaite. Les atomes dans ses circuits sont enchevêtrés avec ceux du verrouillage : c'est impossible à pirater ou dupliquer.

Ces clés sont uniquement utilisées pour verrouiller les zones de haute sécurité du réacteur, notamment le <link=0>cœur</link>.","Ein Quantenverschlüsselungsschlüssel bietet perfekte Sicherheit. Die Atome in seinen Schaltkreisen sind mit denen im Schloss verschränkt, sodass es unmöglich ist, ihn zu hacken oder zu duplizieren. 
 
 Diese Schlüssel werden nur verwendet, um die höchsten Sicherheitsbereiche des Reaktors zu versiegeln, darunter auch den <link=0>Kern</link> selbst."
enc_quantum_encryption_key_stats,"カテゴリー: デバイス
クラス: セキュリティ","CATEGORÍA: Dispositivo
CLASE: Seguridad","CATÉGORIE : dispositif
CLASSE : sécurité","KATEGORIE: Gerät
 KLASSE: Sicherheit"
enc_quantum_encryption_key_sub,量子ビット,Cúbit,qubit,qbit
enc_quantum_juice,クォンタムジュース,"Zumo cuántico","Jus quantique",Quantensaft
enc_quantum_juice_desc,"時空の非規則性を内包して運搬するために、人工的に設計された物質。クォンタムジュース内の時空は絡まったり歪んだりする可能性があり、膨大なエネルギーを蓄えるだけでなく、様々な用途がある。

<link=0>ブライアン</link>が作った時空マニピュレータのプロトタイプは、その多くの機能でクォンタムジュースを利用していた。しかしその信頼性の低さと不安定さ、そして高度な機能では大量のジュースを必要とすることから、<link=1>BAMM</link>ではクォンタムジュースの利用を廃止した。

美味であるとの噂だが、クォンタムジュースの飲用は非推奨である。

飲んでみたい気持ちは、とてもわかる。","Sustancia artificial diseñada para contener y transportar irregularidades espaciotemporales. El espacio-tiempo dentro del zumo cuántico se puede enredar y distorsionar y tiene varios usos, además de almacenar grandes cantidades de energía. 
 
El prototipo de manipulador espaciotemporal de <link=0>Brian</link> utilizaba ZC para varias de sus funciones. Sin embargo, debido a su inestabilidad y falta de fiabilidad, y a las grandes cantidades requeridas para funciones avanzadas, Brian decidió no utilizar ZC en el <link=1>BAMM</link>.
 
Dicen que es delicioso, pero no se recomienda beberlo. 
 
Aunque es tentador.","Une substance artificielle conçue pour contenir et transporter l'irrégularité spatio-temporelle. L'espace-temps au sein du jus quantique peut être emmêlé et déformé. De plus, il a de nombreuses utilisations outre le stockage de grosses quantités d'énergie.

Le prototype du manipulateur spatio-temporel de <link=0>Brian</link> a utilisé le JQ pour un certain nombre de fonctions. En raison de son instabilité et de son manque de fiabilité, Brian a renoncé au JQ dans le <link=1>BBAM.</link>

Bien qu'aux dires de certains, ce soit délicieux, la consommation du jus quantique n'est pas recommandée.

Enfin, ça reste tentant.","Eine künstliche Substanz, die entwickelt wurde, um raumzeitliche Unregelmäßigkeiten einzuschließen und zu transportieren. Die Raumzeit im Quantensaft kann verwirrt und verzerrt werden, und er kann nicht nur große Mengen an Energie speichern, sondern auch eine Reihe von anderen Funktionen erfüllen. 
 
 <link=0>Brians</link> Prototyp des Raumzeitmanipulators verwendete QS für eine Reihe von Funktionen. Aufgrund seiner Instabilität und Unzuverlässigkeit sowie der großen Mengen, die für fortgeschrittene Funktionen benötigt werden, hat Brian die Verwendung von QS im <link=1>BAMM</link> aufgegeben.
 
 Obwohl er köstlich sein soll, wird das Trinken von Quantensaft nicht empfohlen. 
 
 Er ist jedoch verlockend."
enc_quantum_juice_stats,"カテゴリー: 物質
クラス: エキゾチック","CATEGORÍA: Sustancia
CLASE: Exótico","CATÉGORIE : substance
CLASSE : exotique","KATEGORIE: Substanz
 KLASSE: Exotisch"
enc_quantum_juice_sub,美味しくって栄養満点,"Delicioso y nutritivo","délicieux et nutritif","lecker und nahrhaft"
enc_quantum_reactor_vii,クォンタムリアクターVII,"Reactor Cuántico VII","Réacteur quantique VII","Quantenreaktor VII"
enc_quantum_reactor_vii_desc,"クォンタムリアクターVIIは、プランク・インターディメンショナル・エネルギーソリューションによって建設された最新の発電所だ。施設はすべて地下に建設され、太平洋の北西に位置するオリンポス山の内部と地下に位置している。
他のクォンタムリアクターと同様、小さなブラックホールの中と周囲の時空の不安定性を利用してエネルギーを作り出している。精密に調整したサイクルの中で時空を引き裂き、異なる宇宙から大量のエネルギーを漏出させる。このエネルギーは巨大なフライホイールに蓄えられた後、パワーグリッドに送電される。

このような施設の建設には数千人の人員を要したため、エンジニアや建築士、建設作業員を住まわせるための施設がリアクターの隣に建てられた。リアクターが稼働している現在は誰も住んでおらず、自動化されたセキュリティ部隊が廃墟の通路を歩き回り、クォンタムエネルギー生成の副産物として他の宇宙から漏出したエイリアンを排除している。","El Reactor Cuántico VII es la última planta de energía construida por Soluciones Energéticas Planck Interdimensional. Está construido completamente bajo tierra, debajo del Monte Olimpo, en el noroeste del Pacífico.
Como todos los reactores cuánticos, genera energía al explotar las inestabilidades espaciotemporales que se producen dentro y alrededor de un pequeño agujero negro. Abre el espacio-tiempo en ciclos cuidadosamente orquestados, filtrando grandes cantidades de energía de diferentes universos. Esta energía se almacena en enormes volantes de inercia y luego se distribuye a la red eléctrica.
 
Se necesitaron miles de personas para construir un dispositivo de este tipo, por lo que se construyó una instalación junto al reactor para albergar a ingenieros, arquitectos y trabajadores de la construcción. Ahora que el reactor está activo, todas las personas se han ido y las fuerzas de seguridad automatizadas recorren los pasillos abandonados, eliminando a los extraterrestres que se filtran desde otros universos como efecto secundario de la producción de energía cuántica.","Le réacteur quantique VII est la dernière centrale électrique construite par Planck Interdimensional Energy Solutions. Il est complètement enterré dans et sous le mont Olympe, dans le nord-ouest pacifique.
Comme tous les réacteurs quantiques, il génère de l'énergie en exploitant les instabilités spatio-temporelles et en cernant un petit trou noir. Il ouvre l'espace-temps au cours de cycles minutieusement orchestrés, laissant couler de grandes quantités d'énergie de différents univers. Cette énergie est stockée dans d'énormes volants d'inertie, puis distribuée sur le réseau énergétique.

Il a fallu des milliers de personnes pour construire ce système, c'est ainsi qu'une autre installation a été érigée à côté du réacteur pour accueillir les ingénieurs, les architectes et les ouvriers du bâtiment. Maintenant que le réacteur est actif, ces employés ont quitté les lieux et les forces de sécurité automatiques sillonnent les couloirs abandonnés, éliminant les extraterrestres qui sont arrachés à d'autres univers – un effet secondaire de la production d'énergie quantique.","Der Quantenreaktor VII ist das neueste Kraftwerk, das von Planck Interdimensional Energy Solutions gebaut wurde. Er ist vollständig unterirdisch gebaut, im und unter dem Mt. Olympus im pazifischen Nordwesten. 
 Wie alle Quantenreaktoren erzeugt er Energie, indem er die Instabilitäten der Raumzeit in und um ein kleines Schwarzes Loch nutzt. Er reißt die Raumzeit in sorgfältig abgestimmten Zyklen auf und lässt dabei riesige Mengen an Energie aus verschiedenen Universen entweichen. Diese Energie wird in riesigen Schwungrädern gespeichert und dann in das Stromnetz eingespeist. 
 
 Es brauchte Tausende von Menschen, um ein solches Gerät zu bauen. Deshalb wurde neben dem Reaktor eine Anlage errichtet, in der Ingenieure, Architekten und Bauarbeiter untergebracht sind. Jetzt wo der Reaktor in Betrieb ist, haben die Menschen ihn verlassen und automatische Sicherheitskräfte durchstreifen die verlassenen Hallen, um die Aliens zu beseitigen, die als Nebeneffekt der Quantenenergieproduktion aus anderen Universen eindringen."
enc_quantum_reactor_vii_stats,"ロケーション: ワシントン州オリンポス山","LOCALIZACIÓN: Monte Olimpo, Washington","LIEU : Mont Olympe, Washington","ORT: Mt. Olympus, Washington"
enc_quantum_reactor_vii_sub,不信の停止,"Deja a un lado tu incredulidad","laissez vos doutes de côté","setze deine Ungläubigkeit aus"
enc_reactor_core,リアクターコア,"Núcleo del reactor","Cœur du réacteur",Reaktorkern
enc_reactor_core_desc,直径2キロメートルにも及ぶ球形のチャンバーで、中心には重力を無効化したブラックホールが据えられている。コアの壁面は重力子波面インヒビターで覆われており、これがコアのサイクルを制御するとともに、リアクターをブラックホールの影響から保護する役割を持っている。,"Una cámara esférica de dos kilómetros de diámetro, con un agujero negro suspendido gravitacionalmente en el centro. Las paredes del núcleo están cubiertas de inhibidores de frente de onda de gravitones, que controlan los ciclos del núcleo y protegen el resto del reactor de los efectos del agujero negro.","Une chambre sphérique de deux kilomètres de diamètre, avec un trou noir en suspension gravitationnelle au centre. Les parois du cœur sont couvertes d'inhibiteurs d'ondes de gravitation qui contrôlent les cycles du cœur et protègent le reste du réacteur contre les effets du trou noir.","Eine kugelförmige Kammer mit einem Durchmesser von zwei Kilometern, in deren Zentrum ein Schwarzes Loch durch die Schwerkraft gehalten wird. Die Wände des Kerns sind mit Gravitonen-Wellenfront-Inhibitoren bedeckt, die die Kernzyklen kontrollieren und den Rest des Reaktors vor den Auswirkungen des Schwarzen Lochs abschirmen."
enc_reactor_core_stats,"ロケーション: <link=0>クォンタムリアクターVII</link>","LOCALIZACIÓN: <link=0>Reactor Cuántico VII</link>","LIEU : <link=0>réacteur quantique VII</link>","ORT: <link=0>Quantenreaktor VII</link>"
enc_reactor_core_sub,シンギュラリティ,Singularidad,singularité,Singularität
enc_realmwalker,レルムウォーカー,Trotarreinos,Passe-royaume,Reichswandler
enc_realmwalker_desc,"レルムウォーカーは<link=0>ヴォイド</link>を起源とする超次元エンティティの総称である。他のヴォイド生物とは異なり、宇宙間を自在に移動する能力を持ち、一時的に実体化することもできる。

他の宇宙に干渉する力を持っているが、その影響力は限定的であり、また莫大なエネルギーを必要とする。そのため、誰かの運命に影響を与える際は慎重に事を運ぼうとする。","Los trotarreinos son entidades extradimensionales que se originan en <link=0>el Vacío</link>. A diferencia de todos los demás habitantes del Vacío, tienen el poder de moverse entre universos a voluntad, e incluso pueden adoptar formas materiales temporales. 
 
 Poseen un poder limitado a la hora de interactuar con nuestros mundos, y estas interacciones requieren una energía tremenda, por lo que prefieren influir en nuestro destino manipulándolo cuidadosamente.","Les passe-royaume sont des entités extradimensionnelles originaires du <link=0>Néant.</link> Contrairement à tous les autres habitants du Néant, ils ont le pouvoir de se déplacer entre les univers à leur gré et peuvent même adopter des formes matérielles temporaires.

Leur pouvoir pour communiquer avec nos mondes est limité, et ces interactions demandent une énergie colossale. Ils préfèrent donc influencer notre destin à l'aide d'une manipulation minutieuse.","Reichswandler sind extradimensionale Wesen, die ihren Ursprung in der <link=0>Leere</link> haben. Im Gegensatz zu allen anderen Bewohnern der Leere haben sie die Macht, sich nach Belieben zwischen den Universen zu bewegen, und können sogar vorübergehend materielle Formen annehmen. 
 
 Sie haben nur begrenzte Möglichkeiten, mit unseren Welten zu interagieren, und diese Interaktionen erfordern enorme Energie, sodass sie unser Schicksal lieber durch sorgfältige Manipulation beeinflussen."
enc_realmwalker_stats,"学名: N/A
起源宇宙: N/A
分類: 未分類","NOMBRE CIENTÍFICO: N/A
 UNIVERSO DE ORIGEN: N/A
 CLASIFICACIÓN: Sin asignar","NOM SCIENTIFIQUE : N/D
UNIVERS D'ORIGINE : N/D
CLASSIFICATION : non attribuée","WISSENSCHAFTLICHER NAME: K. A.
 HERKUNFTSUNIVERSUM: K. A.
 KLASSIFIKATION: Nicht zugeordnet"
enc_realmwalker_sub,高次存在,"Una forma de vida superior","une existence supérieure","eine höhere Existenz"
enc_recycling_center,リサイクルセンター,"Centro de reciclaje","Centre de recyclage",Recyclingzentrum
enc_recycling_center_desc,"リサイクルセンターはリアクターの廃棄物処理施設だ。運搬されてきたゴミ、壊れたロボット、有機的な破片などはすべてここで溶かされる。再利用可能な資源はアセンブリーに回されるが、大部分は地球のマントルに廃棄される。

溶かされた金属と岩が川となってリサイクルセンターを流れているため、リアクター施設全体の中で最も危険な作業現場の一つとして知られている。","El centro de reciclaje es el centro de eliminación de residuos del reactor. La basura, los robots averiados y los desechos orgánicos se transportan aquí para ser derretidos. Algunos materiales se reutilizan y se envían a la sección de ensamblaje de robots, pero la mayoría se desecha en el manto de la tierra. 
 
Grandes ríos de metal y roca fundidos atraviesan el centro de reciclaje, lo que lo convierte en uno de los entornos de trabajo más peligrosos de todo el reactor.","Le centre de recyclage est un centre de gestion des déchets pour le réacteur. Les ordures, les robots cassés et les débris organiques sont transportés dans ce centre pour être fondus. Certains matériaux sont récupérés et envoyés au montage de robots, mais la majorité finit dans le foyer de la Terre.

De larges rivières de métal et de roche en fusion traversent le centre de recyclage : c'est l'un des environnements de travail le plus dangereux de tout le réacteur.","Das Recyclingzentrum ist das Abfallentsorgungszentrum für den Reaktor. Müll, kaputte Roboter und organische Abfälle werden hierhertransportiert, um eingeschmolzen zu werden. Einige Materialien werden wiederverwendet und zur Montage der Roboter geschickt, aber das meiste wird im Erdmantel entsorgt. 
 
 Riesige Ströme aus geschmolzenem Metall und Gestein fließen durch das Recyclingzentrum und machen es zu einem der gefährlichsten Arbeitsbereiche in der gesamten Reaktoranlage."
enc_recycling_center_stats,"ロケーション: <link=0>クォンタムリアクターVII</link>","LOCALIZACIÓN: <link=0>Reactor Cuántico VII</link>","LIEU : <link=0>réacteur quantique VII</link>","ORT: <link=0>Quantenreaktor VII</link>"
enc_recycling_center_sub,リデュース、リユース、マーダー,"Reducir, reutilizar, asesinar","réduire, réutiliser, assassiner","reduzieren, wiederverwenden, morden"
enc_robot_assembly,ロボットアセンブリー,"Ensamblaje de robots","Montage de robots",Roboter-Montage
enc_robot_assembly_desc,"既存のセキュリティロボットが壊れた際に、補充要員を製造することに特化したフロア。以前は<link=[quot]Organizations/Planck Interdimensional[quot]>プランク社</link>のスタッフが作業していたが、現在は完全に自動化されている。

周囲の資源豊かな地殻から採掘した原石を処理し、ロボットを組成している。ロボットはテストと品質検査を受けた後、リアクターの各部へ展開されるか、倉庫に保管されることになる。","Ya casi no quedan plantas dedicadas a la fabricación de robots de seguridad como las de antes. Anteriormente, el ensamblaje era llevado a cabo por personal de <link=[quot]Organizations/Planck Interdimensional[quot]>Planck</link>, pero ahora es completamente autónomo. 
 
Los minerales en bruto se extraen de la rica corteza circundante, se procesan y se sintetizan para crear robots. Los robots se someten a pruebas e inspecciones de calidad, y luego se distribuyen por el resto del reactor o se guardan en los almacenes.","L'étage dédié à la fabrication des robots de sécurité, à mesure que les stocks de robots existants se vident. Autrefois opéré par le personnel de <link=[quot]Organizations/Planck Interdimensional[quot]>Planck</link>, le montage est désormais complètement autonome.

Les minerais bruts sont extraits de la croûte environnante riche, puis traités et synthétisés pour en faire des robots. Ceux-ci sont ensuite testés, puis soumis à un contrôle de qualité avant d'être déployés dans le reste du réacteur ou stockés dans des entrepôts.","Die Etage ist der Herstellung von Sicherheitsrobotern gewidmet, da die vorhandenen Roboter aufgebraucht sind. Einst von <link=[quot]Organizations/Planck Interdimensional[quot]>Planck</link>-Personal bemannt, ist die Montage nun völlig autonom. 
 
 Rohe Erze werden aus der reichen umgebenden Kruste abgebaut, verarbeitet und zu Robotern synthetisiert. Die Roboter werden getestet und einer Qualitätskontrolle unterzogen und dann im Rest des Reaktors eingesetzt oder in Lagern gelagert."
enc_robot_assembly_stats,"ロケーション: <link=0>クォンタムリアクターVII</link>","LOCALIZACIÓN: <link=0>Reactor Cuántico VII</link>","LIEU : <link=0>réacteur quantique VII</link>","ORT: <link=0>Quantenreaktor VII</link>"
enc_robot_assembly_sub,早い、硬い、強い、上手い,"Más duro, más efectivo, más rápido, más fuerte","harder better faster stronger","härter besser schneller stärker"
enc_ruptipod,ラプティポッド,Ruptípodo,Ruptipode,Ruptipod
enc_ruptipod_desc,縄張り意識が非常に強い甲殻類。メスのラプティポッドは、複雑な生殖過程の一環として爆発する卵を投げつける。また、背中や肩の孔から毒液を噴き出して身を守ろうとする。,"Un crustáceo muy territorial. La hembra ruptípoda lanza sus huevos explosivos como parte de un enrevesado proceso reproductivo. También puede defenderse expulsando un fluido venenoso por los poros dilatados de su espalda y hombros.","Un crustacé très territorial. La femelle ruptipode jette ses œufs explosifs dans le cadre d'un processus alambiqué de reproduction. Elle peut également se défendre en vaporisant un liquide toxique depuis des pores élargis situés sur son dos et ses épaules.","Ein sehr territoriales Krustentier. Das Ruptipod-Weibchen schleudert seine explosiven Eier als Teil eines verworrenen Fortpflanzungsprozesses. Er kann sich auch verteidigen, indem er eine giftige Flüssigkeit aus vergrößerten Poren auf seinem Rücken und seinen Schultern versprüht."
enc_ruptipod_stats,"学名: ハゼコウイカ
起源宇宙: <link=0>B6454</link>
分類: FA-H:5","NOMBRE CIENTÍFICO: Sepiida ruptis
UNIVERSO DE ORIGEN: <link=0>B6454</link>
CLASIFICACIÓN: FA-H:5","NOM SCIENTIFIQUE : Sepiida Ruptis
UNIVERS D'ORIGINE : <link=0>B6454</link>
CLASSIFICATION : FA-H:5","WISSENSCHAFTLICHER NAME: Sepiida Ruptis
 HERKUNFTSUNIVERSUM: <link=0>B6454</link>
 KLASSIFIKATION: FA-H:5"
enc_ruptipod_sub,ポイポイポイ,"Woop, woop, woop","trop fort","woop woop woop"
enc_sapling,サプリン兵,Retoño,"Jeune pousse",Setzling
